date,price,market_cap,volume,token,name,tvl_usd,volume_to_marketcap,price_change_%,market_cap_trend,tvl_trend,year,month,quarter,month_name
2024-08-04,0.0113646278418084,139790836.50381896,7031962.798943072,one,Harmony,1605753,0.0503034603326875,-6.241504580844359,-6.091440422583161,-27.560091290129478,2024,8,3,August
2024-08-05,0.0106141317369691,130886113.6215975,6762833.283279223,one,Harmony,1539342,0.0516696011223247,-6.603789541425497,-6.370033333320957,-4.135816654242586,2024,8,3,August
2024-08-06,0.0099948070561833,122990359.76355204,35317781.28880723,one,Harmony,1410471,0.2871589395844143,-5.8349066709684205,-6.032537478248246,-8.371823805236268,2024,8,3,August
2024-08-07,0.0104687403730647,128786875.03952318,8958830.039823426,one,Harmony,1434383,0.069563222471809,4.741795556604966,4.712983429851647,1.6953202157293568,2024,8,3,August
2024-08-08,0.0102094876506846,125747905.70450392,8151745.34128015,one,Harmony,1379453,0.0648260922964077,-2.4764461925816605,-2.359688698158602,-3.829521125110935,2024,8,3,August
2024-08-09,0.0114096941576304,140587368.5573275,8510824.115384756,one,Harmony,1518191,0.0605376158805781,11.755795667819546,11.800962226516098,10.057464806702376,2024,8,3,August
2024-08-10,0.0109960050344555,135008869.2838477,6492096.332643271,one,Harmony,1961778,0.0480864432616944,-3.6257687319186327,-3.967994657503715,29.218128680778644,2024,8,3,August
2024-08-11,0.011237940992103,138452637.57370207,4084820.3389671096,one,Harmony,2007345,0.029503376826553,2.2002168686663826,2.5507718923369893,2.322739881882652,2024,8,3,August
2024-08-12,0.0104168328789093,128024249.0620223,4483144.959440513,one,Harmony,1876149,0.0350179359948334,-7.306570783479749,-7.532098119928166,-6.535797284472777,2024,8,3,August
2024-08-13,0.0111663055539138,137432341.13670447,6447629.858699029,one,Harmony,1920750,0.0469149386917999,7.194822876748885,7.34867975685165,2.377263213103009,2024,8,3,August
2024-08-14,0.0112279219592368,138133340.64656323,5126691.383210007,one,Harmony,1585627,0.037114076581464,0.5518065489573898,0.5100688120865726,-17.447507484055702,2024,8,3,August
2024-08-15,0.0109197615221488,134365158.65440726,5103812.602001502,one,Harmony,1554855,0.0379846431404789,-2.744590122792745,-2.7279308344518194,-1.940683401581833,2024,8,3,August
2024-08-16,0.0103880802586139,127703542.95014866,5304128.092261858,one,Harmony,1412991,0.0415346980179901,-4.868982371606279,-4.957844556558411,-9.123937601898568,2024,8,3,August
2024-08-17,0.0103285733209545,127097748.77096348,5584027.243925924,one,Harmony,1481763,0.0439349028438624,-0.5728386398439311,-0.4743753894296043,4.8671222958957205,2024,8,3,August
2024-08-18,0.0104785371563028,128852984.7052867,3979131.158068454,one,Harmony,1487968,0.0308811718034281,1.4519317497990736,1.3810126074587092,0.4187579255251927,2024,8,3,August
2024-08-19,0.0108664181617011,133760293.11199798,6623136.491321033,one,Harmony,1498186,0.0495149669399681,3.701671326946943,3.808455363246188,0.6867083163078824,2024,8,3,August
2024-08-20,0.0110034661457479,135460764.2884101,5497350.010083197,one,Harmony,1504839,0.040582599979864,1.2612066092745788,1.2712824836502934,0.4440703624249531,2024,8,3,August
2024-08-21,0.0112530180713827,138438079.03912628,6212806.289757672,one,Harmony,1570508,0.0448778712683651,2.267939232323513,2.1979166929673832,4.363855535376215,2024,8,3,August
2024-08-22,0.0119890780730563,147494374.10668203,9038160.086379075,one,Harmony,2043967,0.061277998846531,6.54100079644746,6.541765914706321,30.14686967528979,2024,8,3,August
2024-08-23,0.0121019640992801,148938649.6770384,4704889.35521985,one,Harmony,1648770,0.0315894454892805,0.9415738686160412,0.9792072267866604,-19.33480335054333,2024,8,3,August
2024-08-24,0.0133068905741751,163746958.78091192,10106080.23188015,one,Harmony,1799963,0.061717666740924,9.956453886412175,9.942556304884032,9.170047975157235,2024,8,3,August
2024-08-25,0.013791585743406,169663222.85132018,10392354.629103106,one,Harmony,1790009,0.0612528422745462,3.642437476502103,3.613052794662286,-0.5530113674558912,2024,8,3,August
