date,token,name,is_seasonal_outlier_price,is_seasonal_outlier_market_cap,is_seasonal_outlier_volume,is_seasonal_outlier_volume_to_marketcap,trend_score,price_volatility,pca_1,is_healthy
2024-07-01,kda,Kadena,0,0,0,0,9.83471075459168,0.023941403426368107,-20943054.009866357,1
2024-07-02,kda,Kadena,0,0,0,0,8.384146725633412,0.022727004179820525,-15506129.039207518,1
2024-07-03,kda,Kadena,0,0,0,0,-8.357232333919551,0.02568936710204588,-20398616.150144607,1
2024-07-07,kda,Kadena,0,0,0,0,-36.68877153050973,0.05298804054551689,-39872935.183822215,0
2024-07-08,kda,Kadena,0,0,0,0,-17.218723561714857,0.05513104714262772,-47838180.36601691,0
2024-07-09,kda,Kadena,0,0,0,0,12.119070744351056,0.06068686551104301,-42113303.28614983,0
2024-07-10,kda,Kadena,0,0,0,0,3.4278283472578552,0.06125938385358716,-40168772.26370731,0
2024-07-11,kda,Kadena,0,0,0,0,3.459633350757896,0.058509801052651036,-38603234.03412497,0
2024-07-12,kda,Kadena,0,0,0,0,1.404267748913135,0.05686539453509747,-38064806.53664979,0
2024-07-13,kda,Kadena,0,0,0,0,8.600911578130365,0.05988632085030049,-33846218.42278081,0
2024-07-14,kda,Kadena,0,0,0,0,-2.629075270425729,0.03393876382788508,-36128173.81385231,1
2024-07-15,kda,Kadena,0,0,0,0,34.600609198615494,0.04719586839609311,-16384801.817203581,1
2024-07-16,kda,Kadena,0,0,0,0,18.925698416141046,0.04843617867382138,-8301941.894906908,1
2024-07-18,kda,Kadena,0,0,0,0,-7.0687574453774715,0.053675206922378475,-13040061.827008098,1
2024-07-19,kda,Kadena,0,0,0,0,-5.129430071238161,0.05556318686190404,-14968017.533810139,1
2024-07-20,kda,Kadena,0,0,0,0,7.083263451071997,0.05496546695872581,-10008141.94560793,1
2024-07-22,kda,Kadena,0,0,0,0,22.975412589215317,0.05867724960903967,4022721.693139553,1
2024-07-23,kda,Kadena,0,0,1,1,-20.292036879464227,0.06859545321228398,-7363144.173242211,1
2024-07-24,kda,Kadena,0,0,0,0,-13.526063083635675,0.05528262671281096,-16137748.531293482,0
2024-07-25,kda,Kadena,0,0,0,0,-6.731772226570032,0.0495111075154299,-20034544.449569046,0
2024-07-26,kda,Kadena,0,0,0,0,-1.5764195936509018,0.0488054154118172,-20428366.767917603,0
2024-07-27,kda,Kadena,0,0,0,0,15.444299944358232,0.05337960947425239,-12232928.660083234,0
2024-07-29,kda,Kadena,0,0,0,0,-17.032964913216375,0.055388794039395395,-20296246.554469824,0
2024-07-30,kda,Kadena,0,0,0,0,1.7512126378207427,0.040417696130936515,-19692687.75276065,0
2024-08-01,kda,Kadena,0,0,0,0,-52.02185213360218,0.04894675092914386,-35645006.65975699,0
2024-08-02,kda,Kadena,0,0,0,0,-5.593258828375236,0.048694299218055605,-35522658.31336495,0
2024-08-04,kda,Kadena,0,0,0,0,-33.88052043889305,0.0634000495756911,-53448062.01734552,0
2024-08-09,kda,Kadena,0,0,0,0,-13.580340824119794,0.06704221422449867,-49697370.43628718,0
2024-08-10,kda,Kadena,0,0,0,0,1.5631476630068364,0.05859772741072472,-50241871.03537507,0
2024-08-11,kda,Kadena,0,0,0,0,11.80362088513687,0.06321674486139581,-46157308.44404276,0
2024-08-12,kda,Kadena,0,0,0,0,-19.979350650226657,0.0632912081122941,-54691561.927636445,0
2024-08-13,kda,Kadena,0,0,0,0,14.299636582973374,0.06304847127041141,-47796980.6485755,0
2024-08-15,kda,Kadena,0,0,0,0,4.2853178802949365,0.06373625437237837,-45964124.546281666,0
2024-08-16,kda,Kadena,0,0,0,0,-23.368692047503945,0.050257483289272376,-56263347.892851576,0
2024-08-19,kda,Kadena,0,0,0,0,5.3577061328376585,0.05171081131997721,-51188707.607519254,0
2024-08-20,kda,Kadena,0,0,0,0,3.9275641192642263,0.05627583619396956,-43578125.73292945,0
2024-08-22,kda,Kadena,0,0,0,0,13.097393339366636,0.059843610307980154,-35226415.66791272,0
2024-08-23,kda,Kadena,0,0,0,0,2.189371307734267,0.04996630684446562,-34998935.212816834,0
2024-08-26,kda,Kadena,0,0,0,0,40.66542258711667,0.07061401635386728,-12883221.306836128,0
2024-08-27,kda,Kadena,0,0,0,0,-20.64811009839739,0.08221256941526782,-24507904.29315996,0
2024-08-28,kda,Kadena,0,0,0,0,-12.448477947028891,0.07453312129650794,-29792673.54375103,0
2024-08-29,kda,Kadena,0,0,0,0,-9.895690813373426,0.07796250312872972,-35176043.6236355,0
2024-09-01,kda,Kadena,0,0,0,0,1.0177014264320827,0.07607399491038923,-33886171.68296602,0
2024-09-02,kda,Kadena,0,0,0,0,-7.832699844764568,0.0738152370749426,-37187318.31176302,0
2024-09-03,kda,Kadena,0,0,0,0,19.071462447228747,0.07807923549445767,-27868324.394319445,0
2024-09-04,kda,Kadena,0,0,0,0,-14.068209416602919,0.046566219971162774,-35455714.62376365,0
2024-09-05,kda,Kadena,0,0,0,0,4.205624427715726,0.04221138481684703,-33507036.619340897,0
2024-09-06,kda,Kadena,0,0,0,0,-8.482845057574595,0.041494180738064344,-37009975.61799735,0
2024-09-07,kda,Kadena,0,0,0,0,-12.495192201394811,0.042550340260505165,-42971417.52462757,0
2024-09-08,kda,Kadena,0,0,0,0,-0.6692693417647111,0.041871768114706824,-43796100.84135173,0
2024-09-09,kda,Kadena,0,0,0,0,13.451942244903982,0.04499016244361859,-37549439.0240134,1
2024-09-10,kda,Kadena,0,0,0,0,14.66048790089669,0.0422361753057741,-30396176.65719384,0
2024-09-11,kda,Kadena,0,0,0,0,3.022436265100703,0.034847843448073026,-28629966.11517191,1
2024-09-12,kda,Kadena,0,0,0,0,-3.1019421137771674,0.035410528763532706,-30866058.71234098,1
2024-09-13,kda,Kadena,0,0,0,0,83.6293258777419,0.03307552484561234,-29892623.71799457,1
2024-09-15,kda,Kadena,0,0,0,0,2.3426786533647492,0.02481341512334197,-28722246.8255952,1
2024-09-16,kda,Kadena,0,0,0,0,-11.51448583240876,0.030892102120549172,-33824044.01734164,1
2024-09-17,kda,Kadena,0,0,0,0,-7.515379455345162,0.02956713131279814,-36896539.37449202,1
2024-09-18,kda,Kadena,0,0,0,0,9.830139642713021,0.023018255801553082,-32927529.43947336,0
2024-09-19,kda,Kadena,0,0,1,1,92.24087831117228,0.12256813065938414,17725481.670650482,1
2024-09-20,kda,Kadena,0,0,1,1,-16.67310270343718,0.1266247947331276,5338892.216084152,1
2024-09-21,kda,Kadena,0,0,0,1,-11.747707596875046,0.12954037385411685,-4255905.385847926,1
2024-09-22,kda,Kadena,0,0,0,0,16.459923257247144,0.12967914685403822,5798360.688962817,1
2024-09-24,kda,Kadena,0,0,0,0,-4.8978423606826915,0.12842861469974776,1582615.928055942,1
2024-09-26,kda,Kadena,0,0,0,0,-11.087259217307508,0.12743653898188753,-21854.492839306593,1
2024-09-27,kda,Kadena,0,0,0,0,0.25289295389027133,0.12803893855297682,1338569.317640841,1
2024-09-28,kda,Kadena,0,0,0,0,-0.882229212190444,0.037586311855802135,2187215.1275657415,0
2024-09-29,kda,Kadena,0,0,0,0,-10.78022600284314,0.03353287269173646,-4461444.179180473,0
2024-09-30,kda,Kadena,0,0,0,0,4.438878451096029,0.029810220568195288,-2009668.5137190819,0
2024-10-01,kda,Kadena,0,0,0,0,-12.478886117254884,0.02260258129685367,-10280070.399846554,0
2024-10-02,kda,Kadena,0,0,0,0,-18.629964779323338,0.029066445440611675,-18545586.52180001,0
2024-10-03,kda,Kadena,0,0,0,0,-10.705290063392326,0.029363358041069133,-24556944.687420666,0
2024-10-04,kda,Kadena,0,0,0,0,-12.95956688920652,0.02693663124580079,-29427451.747633994,0
2024-10-05,kda,Kadena,0,0,0,0,7.226399064579225,0.030828180338191534,-26522820.747401714,0
2024-10-06,kda,Kadena,0,0,0,0,-4.411494220487744,0.030712669187656468,-28880360.916307896,0
2024-10-07,kda,Kadena,0,0,0,0,5.478845551708478,0.03228687628887603,-25890621.950413108,0
2024-10-08,kda,Kadena,0,0,0,0,-2.268096828606836,0.03027144851723856,-27537354.08230886,0
2024-10-10,kda,Kadena,0,0,0,0,-17.753728782069686,0.029111635742973013,-35971168.92319447,0
2024-10-11,kda,Kadena,0,0,0,0,-0.3564043795809435,0.02849592451101975,-36136055.544688225,0
