date,price,market_cap,volume,token,name,tvl_usd,volume_to_marketcap,price_change_%,market_cap_trend,tvl_trend
2024-11-25,0.0244362473073087,300703944.81628066,253659741.0858825,one,Harmony,3329737,0.8435530875421656,16.966053395157175,17.089946274611556,8.188361391964571
2024-11-26,0.0245544630874707,302256522.72382784,92048540.051177,one,Harmony,2635508,0.3045378118614891,0.4837722366912711,0.5163144462556835,-20.849364379228756
2024-11-27,0.0231180782884715,284477804.2995885,58244753.02907188,one,Harmony,3089931,0.2047426974926076,-5.849791110815006,-5.88199661136305,17.242330510854064
2024-11-28,0.0240171187660373,295556738.90072155,40637587.925440125,one,Harmony,3239181,0.137495047741376,3.88890662254624,3.89448119807112,4.830204946324046
2024-11-29,0.0242313763543292,298053505.0097955,31542572.37626317,one,Harmony,3184638,0.1058285571083169,0.8921036298280782,0.8447671057544737,-1.6838515661829367
2024-11-30,0.0268697960364293,331165844.7134202,66975152.61003367,one,Harmony,3404692,0.2022405199062473,10.888443328678951,11.1095287077857,6.909859142546182
2024-12-01,0.0285016382035123,351060717.3151625,125479469.58601078,one,Harmony,3699189,0.3574295368210121,6.073146833234766,6.007525510053324,8.64973982962336
2024-12-02,0.0293576178585077,361010761.2250024,60994820.53833381,one,Harmony,3742850,0.1689556852304421,3.0032647558128733,2.8342800601376616,1.1802857328998329
2024-12-03,0.0297541672185991,365850185.01682335,69200818.10597253,one,Harmony,3738415,0.1891506986740771,1.35075455373328,1.3405206469191189,-0.1184925925431179
2024-12-04,0.0303903325256757,373998192.2549272,94711778.90414186,one,Harmony,3789101,0.2532412745984178,2.1380712906625243,2.227143123551833,1.3558152318562833
2024-12-05,0.0329905650860719,405706583.75398976,109014857.84748718,one,Harmony,4247482,0.2687036942777124,8.5561175028253,8.478220525047142,12.097355019040146
2024-12-06,0.0319801743479611,393722008.2808455,78600424.99212164,one,Harmony,4002496,0.199634318983904,-3.062665751479643,-2.954000736752005,-5.7677937187255885
2024-12-07,0.0402388239660855,495361952.28262913,132789241.31254265,one,Harmony,4403386,0.268065079888856,25.82427953101767,25.81515431295953,10.016000015990013
2024-12-08,0.0455787612290141,564271390.9412786,325032065.3885767,one,Harmony,4893120,0.5760208130459717,13.270609666498531,13.91092681646513,11.12175948236198
